wavelength,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700
V,0.739508555,0.745377061,0.750679113,0.755490274,0.759689772,0.763155905,0.765866727,0.767901803,0.769342699,0.770272356,0.770574235,0.770332856,0.76933391,0.767664647,0.765412719,0.762566963,0.759313282,0.755541905,0.751243032,0.746407984,0.740934674,0.73491378,0.728433522,0.72148759,0.71398085,0.70564769,0.696590573,0.68682353,0.676279414,0.665230072,0.653445879,0.640878467,0.627797645,0.613853241,0.599320835,0.584313,0.568798387,0.552889455,0.536562524,0.519991488,0.503153097,0.485975664,0.468573761,0.450946377,0.433307731,0.415599221,0.3979211,0.38031964,0.362797845,0.345407142,0.328197792,0.311182065,0.294481992,0.278136429,0.262243352,0.246739556,0.231716304,0.217121408,0.203061364,0.189575246,0.17661101,0.164188201,0.152286955,0.140991218,0.130314764,0.120221864,0.11067023,0.10166168,0.093225733,0.085367194,0.078019128,0.071202197,0.06490035,0.059093795,0.05370478,0.048723915,0.044147933,0.039957586,0.03612363,0.03264117,0.029471686,0.026597346,0.023982689,0.021622611,0.019489364,0.017558785,0.015811573,0.01423034,0.012803726,0.011518847,0.010357611,0.009308081,0.008363258,0.00751401,0.006747958,0.00605683,0.005435637,0.004878088,0.004377798,0.003928987,0.00352565,0.003163662,0.002839794,0.002549425,0.002288594,0.002055254,0.001845847,0.001658295,0.001490286,0.001339163,0.001203653,0.001082247,0.000973446,0.000875627,0.000787684,0.000708931,0.000638168,0.000574703,0.000517479,0.000466097,0.000419948,0.000378572,0.000341419,0.000307979,0.000277965,0.000251042,0.000226752,0.000204902,0.000185281,0.000167632,0.000151747,0.0001374,0.00012441,0.00011265,0.000102047,9.25E-05,8.38E-05,7.60E-05,6.90E-05,6.26E-05,5.68E-05,5.16E-05,4.68E-05,4.26E-05,3.87E-05,3.52E-05,3.20E-05,2.92E-05,2.65E-05,2.42E-05,2.20E-05,2.01E-05,1.83E-05,1.67E-05,1.52E-05,1.38E-05,1.26E-05,1.15E-05,1.05E-05,9.58E-06,8.75E-06,7.99E-06,7.31E-06,6.68E-06,6.10E-06,5.58E-06,5.11E-06,4.68E-06,4.28E-06,3.92E-06,3.60E-06,3.30E-06,3.02E-06,2.78E-06,2.55E-06,2.34E-06,2.15E-06,1.97E-06,1.81E-06,1.67E-06,1.53E-06,1.41E-06,1.29E-06,1.19E-06,1.10E-06,1.01E-06,9.27E-07,8.54E-07,7.86E-07,7.24E-07,6.67E-07,6.15E-07,5.68E-07,5.24E-07,4.84E-07,4.46E-07,4.12E-07,3.81E-07,3.52E-07,3.25E-07,3.00E-07,2.78E-07,2.57E-07,2.38E-07,2.20E-07,2.04E-07,1.89E-07,1.75E-07,1.62E-07,1.50E-07,1.39E-07,1.29E-07,1.19E-07,1.11E-07,1.03E-07,9.53E-08,8.84E-08,8.20E-08,7.61E-08,7.07E-08,6.56E-08,6.09E-08,5.66E-08,5.26E-08,4.89E-08,4.54E-08,4.23E-08,3.93E-08,3.66E-08,3.41E-08,3.17E-08,2.96E-08,2.75E-08,2.57E-08,2.39E-08,2.23E-08,2.08E-08,1.94E-08,1.81E-08,1.68E-08,1.57E-08,1.47E-08,1.37E-08,1.28E-08,1.19E-08,1.11E-08,1.04E-08,9.71E-09,9.08E-09,8.48E-09,7.93E-09,7.42E-09,6.94E-09,6.49E-09,6.07E-09,5.68E-09,5.32E-09,4.98E-09,4.67E-09,4.37E-09,4.10E-09,3.84E-09,3.60E-09,3.37E-09,3.17E-09,2.97E-09,2.79E-09,2.61E-09,2.45E-09,2.30E-09,2.16E-09,2.03E-09,1.90E-09,1.79E-09,1.68E-09,1.58E-09,1.48E-09,1.39E-09,1.31E-09,1.23E-09,1.16E-09,1.09E-09,1.02E-09,9.65E-10,9.08E-10,8.55E-10,8.05E-10,7.57E-10,7.13E-10,6.71E-10,6.32E-10,5.95E-10,5.61E-10,5.28E-10,4.98E-10,4.70E-10,4.43E-10,4.18E-10,3.95E-10,3.73E-10,3.52E-10
Sv,8.95E-17,1.28E-15,1.52E-14,1.50E-13,1.26E-12,9.01E-12,5.60E-11,3.05E-10,1.47E-09,6.30E-09,2.44E-08,8.55E-08,2.74E-07,8.06E-07,2.19E-06,5.56E-06,1.32E-05,2.94E-05,6.17E-05,0.000123144,0.000233735,0.000423793,0.000736556,0.001230885,0.00198324,0.003087918,0.004658117,0.006823355,0.009725018,0.013517564,0.018350442,0.024367471,0.031712168,0.040481115,0.050772655,0.062653858,0.076146594,0.091253781,0.107925141,0.126114492,0.145710413,0.166545715,0.188477242,0.211302651,0.234906336,0.259043394,0.283543041,0.308209363,0.332810857,0.357153633,0.38105347,0.404290591,0.426798549,0.448441073,0.469206368,0.488830273,0.507332587,0.524458983,0.540323802,0.55494724,0.568103976,0.579764594,0.589775636,0.598401475,0.605721505,0.611613946,0.61588864,0.618572055,0.619912581,0.620094869,0.618810817,0.616395323,0.6129714,0.608661509,0.602967491,0.596027949,0.588116076,0.579363908,0.569770002,0.559719531,0.549072954,0.538009669,0.526338212,0.514470883,0.502328789,0.489842417,0.477006218,0.463819129,0.45043646,0.436949875,0.423205911,0.409212311,0.395157639,0.381123959,0.366980851,0.352739306,0.338564728,0.324529107,0.310661613,0.29698943,0.283475081,0.270180696,0.257217216,0.244541497,0.232120085,0.220074205,0.208341186,0.196980843,0.1860003,0.175328088,0.165036667,0.155148809,0.145665449,0.136541213,0.127783099,0.119448485,0.111493093,0.10393874,0.096725053,0.089894334,0.083438774,0.077366441,0.071655826,0.066280105,0.061249875,0.056556263,0.052154096,0.048049428,0.044237723,0.040697962,0.037415054,0.034362988,0.031523282,0.028886021,0.026452583,0.024207206,0.022135512,0.020233124,0.018481713,0.016871195,0.015393544,0.014040575,0.012804076,0.011675932,0.010643634,0.009697621,0.008831458,0.008041656,0.007320229,0.006661666,0.006060835,0.005512964,0.005014163,0.004559702,0.004144922,0.003766986,0.003424237,0.00311273,0.002829058,0.00257165,0.002337824,0.002125892,0.001933363,0.00175809,0.001599076,0.001454641,0.001323729,0.001204787,0.001096714,0.000998723,0.000909847,0.000829038,0.000755715,0.000689017,0.000628404,0.000573246,0.000523044,0.000477295,0.000435601,0.000397516,0.000362771,0.000331142,0.000302344,0.00027606,0.000252125,0.000230346,0.000210503,0.000192397,0.000175894,0.000160866,0.00014719,0.000134741,0.00012339,0.000113037,0.000103568,9.49E-05,8.70E-05,7.98E-05,7.31E-05,6.71E-05,6.16E-05,5.65E-05,5.19E-05,4.76E-05,4.38E-05,4.02E-05,3.70E-05,3.40E-05,3.13E-05,2.88E-05,2.65E-05,2.44E-05,2.24E-05,2.07E-05,1.90E-05,1.75E-05,1.61E-05,1.49E-05,1.37E-05,1.26E-05,1.16E-05,1.07E-05,9.89E-06,9.13E-06,8.42E-06,7.78E-06,7.18E-06,6.64E-06,6.14E-06,5.67E-06,5.25E-06,4.85E-06,4.49E-06,4.15E-06,3.85E-06,3.56E-06,3.30E-06,3.05E-06,2.83E-06,2.62E-06,2.43E-06,2.25E-06,2.08E-06,1.93E-06,1.79E-06,1.66E-06,1.54E-06,1.43E-06,1.33E-06,1.23E-06,1.15E-06,1.06E-06,9.89E-07,9.19E-07,8.54E-07,7.95E-07,7.39E-07,6.88E-07,6.40E-07,5.96E-07,5.55E-07,5.17E-07,4.81E-07,4.48E-07,4.18E-07,3.90E-07,3.63E-07,3.38E-07,3.15E-07,2.94E-07,2.74E-07,2.56E-07,2.39E-07,2.23E-07,2.08E-07,1.94E-07,1.81E-07,1.69E-07,1.58E-07,1.48E-07,1.38E-07,1.29E-07,1.21E-07,1.13E-07,1.06E-07,9.93E-08,9.28E-08,8.69E-08,8.13E-08,7.61E-08,7.12E-08,6.67E-08,6.25E-08,5.85E-08,5.48E-08,5.14E-08,4.82E-08,4.53E-08,4.25E-08,3.99E-08,3.74E-08
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69E-305,6.85E-283,2.98E-262,4.00E-243,2.14E-225,5.76E-209,9.73E-194,1.26E-179,1.52E-166,2.02E-154,3.48E-143,9.03E-133,4.05E-123,3.58E-114,6.99E-106,3.38E-98,4.49E-91,1.79E-84,2.36E-78,1.11E-72,2.00E-67,1.49E-62,4.88E-58,7.48E-54,5.67E-50,2.24E-46,4.82E-43,5.92E-40,4.33E-37,1.95E-34,5.64E-32,1.08E-29,1.40E-27,1.28E-25,8.37E-24,4.04E-22,1.47E-20,4.11E-19,9.02E-18,1.58E-16,2.24E-15,2.63E-14,2.57E-13,2.13E-12,1.51E-11,9.29E-11,5.01E-10,2.39E-09,1.02E-08,3.89E-08,1.35E-07,4.27E-07,1.25E-06,3.36E-06,8.41E-06,1.97E-05,4.34E-05,9.03E-05,0.000178001,0.000333818,0.000597797,0.001025544,0.001690831,0.00268649,0.004125312,0.006140064,0.008869297,0.012465595,0.01708394,0.022869233,0.029952368,0.03844576,0.048431457,0.059944718,0.072988457,0.087544493,0.103512081,0.120851599,0.139384983,0.1588927,0.179224406,0.200174406,0.221576134,0.243039211,0.264399045,0.285588862,0.306398166,0.326549996,0.345833815,0.364289012,0.381805652,0.397988269,0.412998825,0.426639433,0.439190947,0.450202597,0.459597493,0.467718879,0.474380424,0.479707913,0.483579411,0.486088169,0.487494859,0.487539355,0.486387733,0.484052632,0.481018621,0.477294649,0.472430884,0.466704525,0.460234454,0.452989495,0.445135295,0.436735018,0.427941519,0.418762198,0.409205602,0.399238971,0.388835771,0.378178776,0.367552582,0.356828847,0.345932081,0.335013331,0.324102903,0.313061346,0.301996396,0.291035037,0.280138288,0.269331912,0.25872253,0.248268721,0.23788547,0.227795507,0.217929463,0.208251716,0.198945844,0.18991942,0.181056679,0.172428793,0.164094472,0.155984894,0.148060095,0.140422888,0.133028583,0.125867819,0.118970964,0.112325939,0.105933833,0.09983706,0.093977849,0.088356866,0.083000138,0.077885184,0.072985581,0.068359534,0.06400207,0.059862477,0.055918099,0.052172559,0.048652836,0.045353018,0.042226066,0.039293147,0.036544822,0.033989691,0.031571782,0.029297511,0.027164389,0.025184758,0.023341006,0.021606959,0.019989405,0.018493669,0.017102038,0.015803383,0.014594422,0.013471481,0.012430599,0.011472414,0.010584918,0.009761355,0.008998668,0.008294539,0.00764552,0.00704451,0.006488326,0.005973946,0.005500798,0.005066161,0.004664961,0.004295219,0.003954968,0.003643029,0.003355602,0.003089529,0.002843082,0.002616328,0.002408718,0.002218122,0.002041647,0.001879322,0.001730198,0.001593359,0.001466558,0.001349695,0.001242656,0.001145059,0.001055467,0.000972702,0.000896264,0.0008262,0.000761561,0.000701937,0.00064701,0.000596719,0.000550311,0.000507698,0.000468415,0.000432066,0.000398729,0.000368181,0.000339928,0.000313836,0.000289888,0.000267735,0.000247321,0.0002286,0.000211294,0.000195334,0.000180616,0.000167021,0.000154385,0.000142763,0.000132109,0.0001223,0.000113253,0.000104854,9.71E-05,8.99E-05,8.33E-05,7.72E-05,7.15E-05,6.63E-05,6.15E-05,5.71E-05,5.29E-05,4.91E-05,4.56E-05,4.23E-05,3.93E-05,3.65E-05,3.39E-05,3.15E-05,2.93E-05,2.72E-05,2.52E-05,2.35E-05,2.18E-05,2.03E-05,1.89E-05,1.76E-05,1.64E-05,1.52E-05,1.42E-05,1.32E-05
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52640205853000e-313,1.15E-296,1.06E-280,1.35E-265,2.61E-251,8.57E-238,5.24E-225,6.52E-213,1.81E-201,1.20E-190,2.09E-180,1.02E-170,1.48E-161,6.93E-153,1.10E-144,6.31E-137,1.38E-129,1.21E-122,4.49E-116,7.36E-110,5.57E-104,2.03E-98,3.71E-93,3.53E-88,1.81E-83,5.16E-79,8.47E-75,8.23E-71,4.88E-67,1.81E-63,4.31E-60,6.76E-57,7.12E-54,5.15E-51,2.61E-48,9.49E-46,2.50E-43,4.90E-41,7.21E-39,8.11E-37,7.07E-35,4.85E-33,2.65E-31,1.16E-29,4.18E-28,1.24E-26,3.06E-25,6.35E-24,1.12E-22,1.69E-21,2.21E-20,2.52E-19,2.51E-18,2.22E-17,1.74E-16,1.22E-15,7.73E-15,4.43E-14,2.31E-13,1.10E-12,4.84E-12,1.96E-11,7.39E-11,2.59E-10,8.48E-10,2.61E-09,7.54E-09,2.06E-08,5.34E-08,1.32E-07,3.08E-07,6.91E-07,1.48E-06,3.05E-06,6.05E-06,1.16E-05,2.13E-05,3.81E-05,6.59E-05,0.000110788,0.000181114,0.000288347,0.000447759,0.000678922,0.001006658,0.001461327,0.002079684,0.002904336,0.003983695,0.005370746,0.007121805,0.009299539,0.011975038,0.015211788,0.01906971,0.023615811,0.028909155,0.034984307,0.041885012,0.049655378,0.05830772,0.067849766,0.078301715,0.089637537,0.101787924,0.114796684,0.128590384,0.143083876,0.158339213,0.174240682,0.190599728,0.207379101,0.224558201,0.241955572,0.259386624,0.276908637,0.294343114,0.311557772,0.328520742,0.345108931,0.361235422,0.376978355,0.392074544,0.406450299,0.420172363,0.433102717,0.445052401,0.456355441,0.467044701,0.476809367,0.485473819,0.49306718,0.499892809,0.506009312,0.510996253,0.515181331,0.518579193,0.521481133,0.523195013,0.523905031,0.523691015,0.522965182,0.521590985,0.519162772,0.515988643,0.51242571,0.508236484,0.503298127,0.497703295,0.491543172,0.484906664,0.478079276,0.470839187,0.463124167,0.45502047,0.446656916,0.438108612,0.42922237,0.420033963,0.410578305,0.401056238,0.391529225,0.381854823,0.372099004,0.36232243,0.352653576,0.342958426,0.333118434,0.32313092,0.313190792,0.303439788,0.293819887,0.284133289,0.27455007,0.265109661,0.255846693,0.246561683,0.237379282,0.228431626,0.219809011,0.211390502,0.203072629,0.194869126,0.186908477,0.179095469,0.171438922,0.163963762,0.156755777,0.149715735,0.142908668,0.136289595,0.129821303,0.123601033,0.117634995,0.111834884,0.106216156,0.100832741,0.095619016,0.090605626,0.085825366,0.081219632,0.076804048,0.072575313,0.068522815,0.064610741,0.060891874,0.057377073,0.054039802,0.050868258,0.047832319,0.044958474,0.042214054,0.039613511,0.037166864,0.034841021,0.032653001,0.030598832,0.028653482,0.026805005,0.025066587,0.023444748,0.021911681,0.02047044,0.019114548,0.01783817,0.016644525,0.015519216,0.014465406,0.013476381,0.012555297,0.011696478,0.010891507,0.010144783,0.009446285,0.008797733,0.008193056,0.007621702,0.007094888
